Start Time,End Time,Sentence,Translation,Emotion
136.75,138.75,یعنی چی چی چی؟ مگه میشه؟,And what is it?,surprise
138.75,140.75,اگه تو خومه بود که پیدا می کرد,"And if you was going to find it, you was going to find it.",neutral
140.75,142.75,با مه از هر ست نفر که میگیرین پنجاتوشون دارن,"It's a lot of people who are going to get a few of them, and they're going to get a few of them.",neutral
142.75,149.01,مگه مازید میگیرین,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
149.01,153.63,بیم اینو پانچ,It's a four-year-old.,neutral
153.63,219.57,اینو پانچ,And it's a few hundreds of them.,neutral
219.57,221.57,باشه بیا بیا,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
221.57,226.64,تو کنیش تو ماشین اینو,And you're going to be a robot.,neutral
226.64,230.14,کجا؟,It's where?,neutral
230.14,232.14,بینید تو ماشین شما,And you're going to see it in your vehicle.,neutral
232.14,253.12,بیا بیا بیا,It's going to come back.,neutral
253.12,273.07,آمنی؟,So what's going to do?,neutral
273.07,275.07,ما در دکاری که رو ما مجبوری میشه تسپن بزن,And we're going to be able to do it with a way that we're able to do it.,neutral
275.07,277.07,به قرار من ممانم نم,And I'm not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
277.07,284.9,من مو از ممان ات گرفت,And I was going to go to my feet.,fear
284.9,286.9,همیشه,It's always going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
286.9,288.9,میشه بسه دوانم میری؟,So what's going to do with me?,anger
288.9,315.12,مینا؟ با تو اما؟,So what's you?,surprise
315.12,319.49,دسته مماننن باز کن,And you're going to do it.,anger
319.49,321.49,اشکانی یه ماشین همه فشت دفتر دسته,And there's a truck that's all the buildings of the house.,neutral
321.49,327.23,ابرقی نلی از اونره بیاری برشین درسه,It's going to be going to the bottom of the bottom of the bottom of the bottom of the bottom of the bottom of the bottom of the bottom of the bottom of the bottom of the bottom of the bottom of the bottom of the bottom.,neutral
327.23,340.65,سه همه زن نظر میDonatه بب Eacha to bahar,It's a couple of women.,neutral
340.65,345.77,اشترایت برای از آنوز از آنوزارست داری,It's a privilege for the secretary of the secretary of the secretary.,neutral
345.77,347.77,یا زنگ هم بزنیم بهزیستی,And we're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able.,neutral
347.77,349.77,پکیم به بچها های نه ببرا,And they're not going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able.,neutral
349.77,354.4,سمه سه همه بهزیستی بار چی؟,And what's a lot of diversity?,surprise
354.4,356.4,هرچی ازد من پرسم,It's what I'm talking about.,neutral
356.4,358.88,اگر دلست جواب دیت خویت از سنت می دین,It's not going to answer the truth of religion.,disgust
358.88,361.88,اینها رو اصمجاداشون که این به قورن همهاشون از قصه دگ میکنن,And they're a genius that they're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able,surprise
361.88,364.88,فکری من به خاطر بچات زنتم آزاد مکنن,And I'm going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able.,neutral
365.88,366.88,قازیت چی میخونه؟,So what do you do?,surprise
367.88,368.88,گزارش,It's a news report.,neutral
368.88,370.88,گزارش و که می نویسه؟ من,And what's going to write and what's going to write?,neutral
370.88,373.88,من چی نویشتم؟ اینها,It's what I'm going to do?,surprise
374.88,377.88,نویشتم تو صاحب جنسی زنتم همکننده,And I'm going to be a woman who's a woman.,neutral
377.88,379.88,تقلیب خواهد که روشن هیچی,And it's a mistake that doesn't have a sense of truth.,disgust
379.88,380.88,زنتم چند سال حقس میگره,It's a few years old.,neutral
380.88,382.88,تو این چند سال بچات چی میشن؟,It's a few years old kids?,neutral
382.88,385.67,با چی کار کن؟,So what do you do?,surprise
385.67,386.67,آه,And it's a very good thing.,joy
387.67,389.67,اگه من صاحب بوردی والا سر آشپست کناش,"And if I'm going to be a captain of the sky, I'm going to be a captain of the sky.",neutral
389.67,391.67,من هم این برگی گزارش پارمی کنم,And I'm going to make this report.,neutral
391.67,393.67,زنر بچات سوار ماشینی کنن بفرستم کنن,It's going to be able to carry a car.,neutral
393.67,395.67,ولی به شرطی که من,It's not because I'm not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going,neutral
395.67,397.67,از اون آدرس اگه میگید از خالی برنگادن,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
398.67,400.67,تو بچات تو به سیسی ازداد نمیشن؟,It's not going to be a kid?,surprise
400.67,402.67,من نمیدونم خودش میپسینم,And I don't know what he's going to do.,surprise
402.67,404.67,آه خودش، این خودش که اصم,It's a guy that I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be.,neutral
404.67,406.67,من اصم میخوان,And I don't know what I'm going to do.,surprise
406.67,411.14,از چی میترسی بدوق این یارو پاش به اینجا برسی,It's going to be here.,neutral
411.14,413.14,اینجا برسی دستش از دنیا و آخرت کتایه,It's going to take his hand from the world and the world and the world.,anger
414.14,416.14,این یه اسم بگو خلاص,It's a name.,neutral
418.96,419.96,ناسر,And they're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
419.96,423.4,ناسره؟,So what's going to happen?,surprise
423.4,424.4,خاکزد,It's a very dangerous place.,fear
424.4,429.76,از اون خودش جنس میگیری؟,So what's going to be a woman?,neutral
429.76,431.76,نه اون اوایل به خودش زنگ میزنم,And I'm going to give him a kiss.,neutral
431.76,433.76,ولی خودش ایش وقت نمیورم دید به اون یارو گنده,It's not going to be going to see it.,sadness
433.76,434.76,اون یارو گنده,And they're going to do it.,anger
434.76,436.76,یعنی الان ببینیش میشنسیش؟,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going?,neutral
436.76,437.76,نه,And they're not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going,neutral
437.76,439.76,پس از کجا باشاشن شدی؟,It was going to be going to be going to be going to be here?,surprise
439.76,441.76,اصلا این یارو واسطه,It's not a good thing.,disgust
442.76,444.76,واسطه که درست حرف ازن ببینم مثل آدم,It's really interesting to see what I'm talking about.,surprise
445.76,446.76,حسن دلیری اسمشه,It's a very interesting story.,joy
446.76,448.76,بهش میگن حسن گابی,And he told him.,neutral
448.76,449.76,خیل خون,It's a blood.,disgust
449.76,451.76,یعنی یه زنگ بزن به همین گاوه,It's called a girl in the same way.,neutral
451.76,452.76,دور برای جنس بیر,It's going to be a female.,neutral
452.76,454.76,الان دو باره زنگ بزنم شک می کنه,"And I'm going to get a few fingers, and I'm going to get a few fingers.",neutral
454.76,455.76,تاز از ازاش گرفتن,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
455.76,456.76,باش,We're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
456.76,457.76,فردا میزنیم,So we're going to go.,neutral
457.76,458.76,فردا که میرم اون برن,It's when I'm going to see it.,neutral
458.76,460.76,اصلا چون نیست منظر سیاد گرفتن,It's not because it's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
460.76,463.76,به قرآن من اینش وقت نقعد زیاد جنس نمیگیرم جنس دیم,"It's when I'm pregnant, I'm not going to be pregnant.",sadness
463.76,464.76,فردا میرم کدون برن؟,And I don't know what's going to do?,surprise
464.76,465.76,جابون,And they're going to be able to be able to be able to be able to be able to be able to be able to be able.,neutral
465.76,466.76,خودش هم میره؟,And she's going to go?,surprise
466.76,467.76,خود که این؟,And what is it?,surprise
467.76,469.76,الان در برای جنس به که عرف میزنیم ما؟,And what we're talking about?,surprise
469.76,470.76,ناسر خالکزاد,It's going to be a winner.,joy
470.76,471.76,بایید میدونم,"And I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say, I'm going to say.",neutral
471.76,472.76,کیره جابون؟,It's not going to go?,surprise
472.76,475.76,رو دوری جابون این دیگه جانم سربان,And I'm going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
475.76,476.76,سودش بیشتره براشون,It's more expensive for them.,disgust
476.76,479.76,به پول ما کلوی سی ساد میرم اینها سود میدست,It's a lot of money that's a lot of money.,neutral
479.76,480.76,فردا که میره؟,It's what you're going to do?,surprise
480.76,481.76,سوب,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
481.76,540.49,بفرما یه دقیقه,It's a few minutes.,neutral
540.49,541.49,خب سی چی هرم مردم,It's why they're talking about people.,neutral
541.49,545.7,چند لحظه وقتی تو نمیگیرم دو بین,It's a moment when I'm going to get two together.,joy
545.7,549.7,سربان,It's going to be a victory.,joy
549.7,550.7,این چطوره؟,It's what?,surprise
550.7,551.7,آره اون خوبه,And it's good.,joy
551.7,554.7,خب ما وقت پربازون دارو میگزر آره,And we're going to get a lot of antibiotics.,neutral
554.7,560.11,دو نمیگیرم بعدش چه بونیدی تو میده اینه که ملوم نشه نه,And I don't know what you're going to do is that it's going to be angry.,anger
560.11,561.11,اصلا نمیگیرم اصلا نمیگیرم,"And I'm not going to do it, I'm not going to do it, I'm not going to do it.",anger
561.11,562.11,دو بینم پات,And I'm going to go.,neutral
562.11,564.11,با اتا این چیزای داری آره؟,So what's going to do?,neutral
564.11,565.11,چی یعنی؟,And what is it?,surprise
565.11,566.11,از اولیپادو برای چند سف کردی؟,And what's going to do with a spoon?,surprise
566.11,568.11,نه با بولم اصلا جای ما سفنکت,And I didn't know what we're going to do.,surprise
568.11,569.11,نتاس,We're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
569.11,570.11,کارید ندارم,And I'm not going to work.,sadness
570.11,573.11,آقا میبینم حالا هنوز اینجا تو میده ته,"And I see you now, I'm going to see you, I'm going to see you.",joy
574.11,576.11,آقا میبینم حالا هنوز اینجا تو میده ته,"And I see you now, I'm going to see you, I'm going to see you.",joy
576.11,578.11,که اینجا رفته پایین تو رودت,And you're going to go to the right side of you.,neutral
578.11,580.11,جون عزیز ات بخیارش,We're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be.,neutral
580.11,583.11,میبینم حالا اگه اینجا اصلا اینجا بهدم اش بلا بلا بیاریش,It's going to see if it's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be alive.,neutral
583.11,585.11,اینجا بهدم اش پایین برینیش,It's going to be the bottom of his eyes.,neutral
585.11,586.11,هیچ کدوم رو,And there's no one.,neutral
586.11,588.11,بزورتی کم از اما بریم به پربازون برست,And we're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be,neutral
589.11,591.11,این بویگند دنه تن برای برل نستن؟,It's a giant weapon for a giant?,surprise
591.11,592.11,نه بهت جانو ماده,It's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
592.11,595.11,ما همیشه همیجان اینجا اینجا سگ مرده تو میده,And we're always going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be a,neutral
595.11,597.11,من تو یه نفر میزنم تو دسکا دلیل رودت خالیوت,And I'm going to tell you a person that's going to be a stranger.,neutral
597.11,599.11,بقیادتون ها بینیم کنن بری,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
599.11,600.11,این اصلا این کارو بسیط چیه جانو,It's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
600.11,602.11,آقا اشاله که ما اشتباه کرره باشیم دیگه,It's not a mistake.,neutral
602.11,603.11,به فرمین,We're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
603.11,604.11,آقا این نهرم چی؟,It's what I'm going to do?,surprise
604.11,605.11,ها؟,And what are they?,surprise
606.11,607.11,کم شو برو باده,And you're going to do it.,anger
607.11,608.11,برو,We're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
608.11,610.11,ساو باشه دسکی دارو بگی,It's a very healthy medicine.,neutral
610.11,611.11,ساو برو بگی,It's a very interesting way.,joy
611.11,612.11,نهرم,And I'm going to do it.,neutral
612.11,613.11,به دور حرکه,It's in the middle of the air.,neutral
614.11,642.41,اینو همه از جنس,It's all of their ethnicity.,neutral
642.41,643.41,ببین,And you're going to see it.,neutral
643.41,644.41,یه مرده همه اداشه,It's a woman that's a woman.,neutral
645.41,646.41,اینشی,And they're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
646.41,647.41,اینشی,And they're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
647.41,648.41,اینو,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
648.41,649.41,اینو,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
649.41,650.41,بلطین پرش,It's going to be a little bit a little bit a little bit a little bit a little bit a little bit a little bit.,neutral
650.41,651.41,بیا بیرون,It's going to go back.,neutral
651.41,659.55,بیا,It's going to be a little bit a little bit a little bit a little bit a little bit a little bit a little bit a little bit a little bit a little bit a little bit a little bit.,neutral
659.55,664.48,نه تو با بینم,And I'm going to see it.,neutral
664.48,670.83,کدومش,And what's going to be?,surprise
670.83,672.83,اون کدومه درست نشون بده,It's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
672.83,673.83,اون دیگه,And it's a little bit different.,neutral
673.83,675.83,برو گشتن جلون نشون بده,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
675.83,680.19,آه با انگش نشون بده,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
680.19,682.19,اس پشنم بگو من مشنم اون بلند,And I'm going to say I'm going to see it.,joy
684.19,685.19,حسن دلیری,It's a very brilliant attitude.,joy
685.19,686.19,حسن دلیری,It's a very brilliant attitude.,joy
686.19,688.19,حسن دلیری همونی که تو از اش,It's a very good feeling that you're going to get from him.,joy
688.19,689.19,جنس میگیرم,And I'm going to be pregnant.,joy
689.19,691.19,جنس میگیری برو بیرو,And it's going to be a female.,neutral
696.48,698.48,اینی تا هم نمیدینی کجا میپرد,So you don't know what you're going to do.,surprise
698.48,699.48,ایش که نمیدینی,And you don't know what you don't know.,surprise
699.48,700.48,خونش هم نمیدینی,It's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
700.48,701.48,جانه بچه هم نمیدونم,And I don't know what I know.,surprise
701.48,702.48,چجوری از اش جنس میگرفتیم,And what we had to do with a woman?,neutral
702.48,703.48,شو صدا که از یه جان,It's a voice that's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
703.48,705.48,ماشین، مسافر، خونه، تربات,"It's a boat, boat, boat, boat.",neutral
705.48,707.48,اگه همه تون نمیگین هر جنسوشی که همه تون داریم مال اونه,"And if you don't know what we're talking about, you don't know what we're talking about.",disgust
707.48,708.48,چرا,And what's going to happen?,surprise
708.48,710.48,خب وقتانو نگریم یعنی ملخوه اونه,"It's when we're going to talk about a lot of people, because they're going to talk about a lot of people.",neutral
710.48,712.48,خب وقتی چار نفار داریم میگیم مال اونه,"It's when we're talking about the money, we're talking about it.",neutral
712.48,714.48,اوه چار ست نفت شد,It's a three-quarter pipeline.,neutral
714.48,716.48,فرقه مگنه وقتی ملل مصیر او کیه,It's a military crisis when he was going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
716.48,717.86,هر امروزهاد از خودش خود شذ ده به اون را وقت,It's going to be going to do it when he's going to do it when he's going to do it when he's going to do it when he's going to do it when he's going to do it when he's going to do it when he's going to do it when he's going to do it when he's going to do it when he's going to do it when he's going to do it.,neutral
717.86,718.48,تلفیقان اون آثار خواکزاد,And they're talking about their poetry.,neutral
718.48,720.48,به فرار کنه,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
720.48,723.98,حسنگاوی,And they're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able.,neutral
723.98,725.98,هر جوری که رفتار کنید,It's a lot of things you can do.,neutral
725.98,727.98,همبات همون جوری رفتار می کن,It's a lot of thinking.,neutral
727.98,729.98,برینه ستخی که کناره هم چی میگن,It's going to be a very interesting thing that's going to tell you what's going to do.,neutral
729.98,731.98,میگن باند,And you're talking about a drone.,neutral
731.98,733.98,بجمکدن این ستخی که کناره هم که میگن,And they're going to be a very interesting thing that's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
733.98,735.98,میگن تشکیله باند,It's going to be a group.,neutral
735.98,737.98,این بانده که تشکیل داده؟,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be?,neutral
737.98,740.58,تو، که تشکستده این بانده تو تشکیل دادی؟,"And you, who was the secretary of this guy?",surprise
740.58,743.18,من؟ من چدی بی تشکستدم تو این بانده تشکیل دادی؟,And I was going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
743.18,747.18,اینها هر ستاشون نوشتن همه کار توی امضا کردن انگشتن,And they're going to write all the work in their signatures.,neutral
747.18,749.18,چی امضا کردی؟,And how do I do it?,surprise
749.18,750.18,یک,And they're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
750.18,752.78,من میتونم مینویسنم شما چارتا بچه محلله قدیمی بودیم,And I can tell you you a very young girl.,neutral
752.78,755.58,همهتون همهندازو و درست حک میگیریم مجازات چی,And I'm going to figure out what you're going to do.,neutral
755.58,757.98,دو، میتونم نه میسن بچه محل,"And two, I can't be a teenager, but I can't be a teenager.",neutral
758.98,761.98,تو این همهتون همهندازو و درست حک میگیریم مجازات چی,"And I'm going to tell you all the ones, and I'm going to figure out what you're going to do.",neutral
761.98,763.98,دو، میتونم نه میسن بچه محل,"And two, I can't be a teenager, but I can't be a teenager.",neutral
