Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity
1900-01-01 00:09:38.657982,1900-01-01 00:09:40.657982,ولی ما بهش فکر نکرده باشیم یا اونقدر نزدیک نباشیم,But we may not have thought about it or we may not be that close.,detachment,neutral,mild
1900-01-01 00:09:40.657982,1900-01-01 00:09:42.657982,یا شرایط پیش نرفته باشه,Or the situation may not have progressed,uncertainty,fear,mild
1900-01-01 00:09:42.657982,1900-01-01 00:09:44.657982,به اونجا که ما بتونیم اسم رفیق روشون بذاریم,To the point where we can call them a friend,longing,happiness,mild
1900-01-01 00:09:44.657982,1900-01-01 00:09:46.657982,ولی خب طبیعتاً,But naturally,acceptance,neutral,neutral
1900-01-01 00:09:46.657982,1900-01-01 00:09:48.657982,خیلی همون دوست داریم و به قول شما,"We love you all very much, as you say.",affection,happiness,mild
1900-01-01 00:09:48.657982,1900-01-01 00:09:50.657982,اصلا دوست هم نه,Not even a friend at all,rejection,sadness,moderate
1900-01-01 00:09:50.657982,1900-01-01 00:09:52.657982,ما تو زندگی اجتماعیمون هم به آدمهای زیادی,"In our social life, we also (encounter/relate to) many people",reflection,neutral,neutral
1900-01-01 00:09:52.657982,1900-01-01 00:09:54.657982,سر و کار داریم که به قول شما,"We are dealing with, as you say",uncertainty,neutral,neutral
1900-01-01 00:09:54.657982,1900-01-01 00:09:56.657982,هم شغل من هم شاید,Maybe it's my job too,uncertainty,neutral,mild
1900-01-01 00:09:56.657982,1900-01-01 00:09:58.657982,مآش من همه چیمون به هم,"My salary, everything of ours is messed up.",frustration,anger,moderate
1900-01-01 00:09:58.657982,1900-01-01 00:10:00.657982,مرتبط باشه یا در هم تنیده شده باشه,It should be related or intertwined,connection,neutral,neutral
1900-01-01 00:10:00.657982,1900-01-01 00:10:02.657982,ولی اون رفیق رو,But that friend,longing,sadness,mild
1900-01-01 00:10:02.657982,1900-01-01 00:10:04.657982,من براش یه خط دیگهی در نظر میگم,I have another line in mind for him/her.,planning,neutral,neutral
1900-01-01 00:10:04.657982,1900-01-01 00:10:06.657982,یه جداش میکنم,I'll separate it.,determination,neutral,neutral
1900-01-01 00:10:12.657982,1900-01-01 00:10:14.657982,اصلا در طور زندگی,"Actually, throughout life",reflection,neutral,neutral
1900-01-01 00:10:14.657982,1900-01-01 00:10:16.657982,ما باشون معاشرت میکنیم,We socialize with them,acceptance,neutral,neutral
1900-01-01 00:10:16.657982,1900-01-01 00:10:18.657982,شاید همه چیزی که عرض کردم,Maybe everything I said,uncertainty,neutral,mild
1900-01-01 00:10:18.657982,1900-01-01 00:10:20.657982,خوش هم به ما میگذرده,We are having a good time too,contentment,happiness,mild
1900-01-01 00:10:20.657982,1900-01-01 00:10:22.657982,تو شرط مختلف,You are a different condition,confusion,surprise,mild
1900-01-01 00:10:22.657982,1900-01-01 00:10:24.657982,ولی شاید توی دوران نخوشی,But maybe during times of illness,uncertainty,sadness,mild
1900-01-01 00:10:24.657982,1900-01-01 00:10:26.657982,سراغ اونا نرید,Don't go after them,warning,fear,moderate
1900-01-01 00:10:26.657982,1900-01-01 00:10:28.657982,تا حقا خوبه تعدادشون محدوده,"Yes, it's really good that their number is limited.",satisfaction,happiness,mild
1900-01-01 00:10:28.657982,1900-01-01 00:10:30.657982,یعنی به نظرم اگه زیاد تا وشه,"I mean, in my opinion, if it becomes too much",concern,fear,mild
1900-01-01 00:10:30.657982,1900-01-01 00:10:32.657982,آدم انرژی نداره برای همه,A person doesn't have energy for everyone,exhaustion,sadness,moderate
1900-01-01 00:10:32.657982,1900-01-01 00:10:34.657982,یک سان خرش کنه,Let him make it exactly the same.,expectation,neutral,neutral
1900-01-01 00:10:34.657982,1900-01-01 00:10:36.657982,یعنی شاید دلائلش نیست,It means maybe there aren't any reasons for it,uncertainty,neutral,mild
1900-01-01 00:10:36.657982,1900-01-01 00:10:38.657982,که تو یک انرژی محدودی داری,That you have a limited amount of energy,resignation,neutral,neutral
1900-01-01 00:10:38.657982,1900-01-01 00:10:40.657982,خانواده در کنارش,Family by his/her side,comfort,happiness,mild
1900-01-01 00:10:40.657982,1900-01-01 00:10:42.657982,و یه سری رفیقه خواست که انگوش شما,And some friends wanted your finger,curiosity,neutral,mild
1900-01-01 00:10:42.657982,1900-01-01 00:10:44.657982,رو همه تو انتخابشون کردی و با هم روشت کردی,You chose all of them and grew with them.,nostalgia,happiness,mild
1900-01-01 00:10:44.657982,1900-01-01 00:10:46.657982,برای همین اگه همه باشن,That's why if everyone is there,expectation,neutral,mild
1900-01-01 00:10:46.657982,1900-01-01 00:10:48.657982,خیلی سخت میشه,It gets very hard,frustration,sadness,moderate
1900-01-01 00:10:48.657982,1900-01-01 00:10:50.657982,خب آخه دریافتم هست,"Well, but I have received it",assurance,neutral,mild
1900-01-01 00:10:50.657982,1900-01-01 00:10:52.657982,این انرژی ها رو آدم همیتونی که میده دریافتم میکنه,A person receives these energies just as they give them.,reflection,neutral,neutral
1900-01-01 00:10:52.657982,1900-01-01 00:10:54.657982,برای شاید تو آدم هایی,For maybe you are people,confusion,neutral,mild
1900-01-01 00:10:54.657982,1900-01-01 00:10:56.657982,رو که باشون معاشرت میکنه,The one who socializes with them,curiosity,neutral,neutral
1900-01-01 00:10:56.657982,1900-01-01 00:10:58.657982,یعنی اصلا تو خیابون در کناره درد میشن,"It means that they don't feel pain at all on the street, on the side.",indifference,neutral,neutral
1900-01-01 00:10:58.657982,1900-01-01 00:11:00.657982,برای همین یک بخشی,That's why it's just a part,explanation,neutral,neutral
1900-01-01 00:11:00.657982,1900-01-01 00:11:02.657982,از زندگی که قسمت هم هست,"From life, which also has fate/destiny",resignation,sadness,mild
1900-01-01 00:11:02.657982,1900-01-01 00:11:04.657982,یعنی من خیلی به,"I mean, I really to",hesitation,neutral,mild
1900-01-01 00:11:04.657982,1900-01-01 00:11:06.657982,تقدیر اعتقاد دارم,I believe in fate,acceptance,neutral,neutral
1900-01-01 00:11:06.657982,1900-01-01 00:11:08.657982,حالا تقدیر هم از نگاه,Now fate also from the perspective,contemplation,neutral,neutral
1900-01-01 00:11:08.657982,1900-01-01 00:11:10.657982,مصحبیش هم غیر مصحبیش,His companion is also not his companion.,confusion,sadness,mild
1900-01-01 00:11:10.657982,1900-01-01 00:11:12.657982,یعنی اون انرژی که,That means the energy that,curiosity,neutral,neutral
1900-01-01 00:11:12.657982,1900-01-01 00:11:14.657982,زندگی تو رو جلو میبره,Life moves you forward,acceptance,neutral,neutral
1900-01-01 00:11:14.657982,1900-01-01 00:11:16.657982,من همیشه میگم مثلا میگم,"I always say, for example, I say",reflection,neutral,neutral
1900-01-01 00:11:16.657982,1900-01-01 00:11:18.657982,حالا یکم بیربته به بحث ما,Now it's a bit off-topic from our discussion,distraction,neutral,mild
1900-01-01 00:11:18.657982,1900-01-01 00:11:20.657982,ولی خب برای این که جا بیوفت,"But well, so that it settles in",acceptance,neutral,mild
1900-01-01 00:11:20.657982,1900-01-01 00:11:22.657982,ارضی که دارم میکنم,The wish I am making,hope,happiness,mild
1900-01-01 00:11:22.657982,1900-01-01 00:11:24.657982,مثلا دیوید بکان بهترین فوتبالیست,"For example, David Beckham is the best footballer",admiration,happiness,mild
1900-01-01 00:11:24.657982,1900-01-01 00:11:26.657982,انگریست نیست,It is not English,assertion,neutral,neutral
1900-01-01 00:11:26.657982,1900-01-01 00:11:28.657982,شاید اونایی که سر و کار با فوتبال دارن,Maybe those who are involved with football,curiosity,neutral,mild
1900-01-01 00:11:28.657982,1900-01-01 00:11:30.657982,یا سر رشدی دارن حرف منو بهتر,Or they are more mature and understand me better,hope,happiness,mild
1900-01-01 00:11:30.657982,1900-01-01 00:11:32.657982,متوجه بشن,Let them understand,expectation,neutral,mild
1900-01-01 00:11:32.657982,1900-01-01 00:11:34.657982,ولی یک نفر میشه دیوید بکان,But only one person can be David Beckham,admiration,happiness,mild
1900-01-01 00:11:34.657982,1900-01-01 00:11:36.657982,یعنی این دیگه تقدیره به نظرم,"I mean, this is just fate in my opinion",resignation,sadness,mild
1900-01-01 00:11:36.657982,1900-01-01 00:11:38.657982,علاوه بنکه آدم تلاش کرده,Even though a person has tried,resignation,sadness,mild
1900-01-01 00:11:38.657982,1900-01-01 00:11:40.657982,علاوه بنکه خیلی خوش دید به خیلی خوش قیافه هست,"Besides being very good-looking, he is also very handsome.",admiration,happiness,moderate
1900-01-01 00:11:40.657982,1900-01-01 00:11:42.657982,اینا همه دست به دست هم داده,All of these have come together,resignation,sadness,mild
1900-01-01 00:11:42.657982,1900-01-01 00:11:44.657982,ولی,But,hesitation,neutral,neutral
1900-01-01 00:11:44.657982,1900-01-01 00:11:46.657982,تقدیر هم هست,Destiny also exists,acceptance,neutral,neutral
1900-01-01 00:11:46.657982,1900-01-01 00:11:48.657982,به نظر من,In my opinion,contemplation,neutral,neutral
1900-01-01 00:11:48.657982,1900-01-01 00:11:50.657982,جبر زمونه,The compulsion of the times,resignation,sadness,moderate
1900-01-01 00:11:50.657982,1900-01-01 00:11:52.657982,من شخصا اختیار رو خیلی کم بهش بهام میدم,"Personally, I give him very little authority.",reservation,neutral,mild
1900-01-01 00:11:52.657982,1900-01-01 00:11:54.657982,یعنی خیلی براش,It really means a lot to him/her,importance,happiness,moderate
1900-01-01 00:11:54.657982,1900-01-01 00:11:56.657982,درصد کمی تو زندگی در نظر میگیرم,I consider a small percentage in life,resignation,sadness,mild
1900-01-01 00:11:56.657982,1900-01-01 00:11:58.657982,خود من خیلی از آدم های,I myself am very much from the people,uncertainty,neutral,neutral
1900-01-01 00:11:58.657982,1900-01-01 00:12:00.657982,خیلی بچه های زیادی بودن که تو محله,There were a lot of kids in the neighborhood,nostalgia,happiness,mild
1900-01-01 00:12:00.657982,1900-01-01 00:12:02.657982,که ما روشت کردیم و بزرگ شدیم,That we grew and became adults,reflection,neutral,neutral
1900-01-01 00:12:02.657982,1900-01-01 00:12:04.657982,کناروم هم فوتبال بازی میکردن,They were also playing football next to me,indifference,neutral,neutral
1900-01-01 00:12:04.657982,1900-01-01 00:12:06.657982,و تو اون محله گوهردشتی که ما بازی میکردیم,And in that Gohardashti neighborhood where we used to play,nostalgia,happiness,mild
1900-01-01 00:12:06.657982,1900-01-01 00:12:08.657982,هیچ کدومشون فوتبالیست بزرگی نشدن,None of them became great footballers,disappointment,sadness,moderate
1900-01-01 00:12:08.657982,1900-01-01 00:12:10.657982,ولی خیلی هاشون هم اون موقع هم,But many of them even at that time,nostalgia,sadness,mild
1900-01-01 00:12:20.657982,1900-01-01 00:12:22.657982,چون وجود داشت جفتش هم,Because both of them existed too,acceptance,neutral,neutral
1900-01-01 00:12:22.657982,1900-01-01 00:12:24.657982,مبتنی بر کار تیمی بوده,It has been based on teamwork,cooperation,neutral,neutral
1900-01-01 00:12:24.657982,1900-01-01 00:12:26.657982,بله,Yes,acceptance,neutral,neutral
1900-01-01 00:12:26.657982,1900-01-01 00:12:28.657982,این از این انصار رفاقت,This is how these friends behave.,disappointment,sadness,moderate
1900-01-01 00:12:28.657982,1900-01-01 00:12:30.657982,حالا به عنوان یک,Now as a,anticipation,neutral,neutral
1900-01-01 00:12:30.657982,1900-01-01 00:12:32.657982,امکان,Possibility,neutrality,neutral,neutral
1900-01-01 00:12:32.657982,1900-01-01 00:12:34.657982,چجوری استفاده کردید,How did you use it?,curiosity,neutral,mild
1900-01-01 00:12:34.657982,1900-01-01 00:12:36.657982,همینی که ارز کردم,Just what I said,insistence,neutral,neutral
1900-01-01 00:12:36.657982,1900-01-01 00:12:38.657982,یعنی من واقعا با همه دوستان,"I mean, I really am with all my friends",connection,happiness,mild
1900-01-01 00:12:38.657982,1900-01-01 00:12:40.657982,حالا مثلا,Now for example,curiosity,neutral,neutral
1900-01-01 00:12:40.657982,1900-01-01 00:12:42.657982,توی تیم فوتبال مثلا این انصار چقدر کار کرد داره,"In the football team, for example, how much contribution does this Ansar have?",curiosity,neutral,neutral
1900-01-01 00:12:42.657982,1900-01-01 00:12:44.657982,توی فوتبال که خب طبیعیتا,"In football, well, naturally",expectation,neutral,neutral
1900-01-01 00:12:44.657982,1900-01-01 00:12:46.657982,وقتی یک تاکتیکیو قراره,When a tactic is supposed to,anticipation,surprise,mild
1900-01-01 00:12:46.657982,1900-01-01 00:12:48.657982,اجرا کنیم همه درش داخلی دنیا,Let's implement all of it inside the world.,determination,neutral,mild
1900-01-01 00:12:48.657982,1900-01-01 00:12:50.657982,از درباز بان بگیر تا,From the goalkeeper to,anticipation,neutral,neutral
1900-01-01 00:12:50.657982,1900-01-01 00:12:52.657982,و معمولا هم چیزی که من,And usually also what I,uncertainty,neutral,neutral
1900-01-01 00:12:52.657982,1900-01-01 00:12:54.657982,توی تجربهی که هم سالها فوتبال میبینم,"In my experience, as someone who has been watching football for years",reflection,neutral,neutral
1900-01-01 00:12:54.657982,1900-01-01 00:12:56.657982,همین حالا هم به دوستان میگفتم خدا کنه,"I was just telling my friends, I hope to God",hope,happiness,mild
1900-01-01 00:12:56.657982,1900-01-01 00:12:58.657982,برنامه دهده اونیم تمام شده هم برم بازی های امشا,"The 10:30 program is over, so I should go to tonight's games too.",readiness,neutral,neutral
1900-01-01 00:12:58.657982,1900-01-01 00:13:00.657982,و ببینم یعنی همچنان,"And let me see, does it still mean",curiosity,neutral,mild
1900-01-01 00:13:00.657982,1900-01-01 00:13:02.657982,امشا هم ایتالیا باز دارن و انگلیست باز دارن,Tonight they are showing Italy again and they are showing England again,expectation,neutral,neutral
1900-01-01 00:13:02.657982,1900-01-01 00:13:04.657982,جامعه ملت اروپا هستن,They are the society of European nations,neutrality,neutral,neutral
1900-01-01 00:13:04.657982,1900-01-01 00:13:06.657982,خب دوستان خیلی خوش گذشت,"Well friends, it was a lot of fun",enjoyment,happiness,moderate
1900-01-01 00:13:06.657982,1900-01-01 00:13:08.657982,ایشالله تا دیگه,"God willing, until next time",hope,happiness,mild
1900-01-01 00:13:08.657982,1900-01-01 00:13:10.657982,اینجا,Here,neutrality,neutral,neutral
1900-01-01 00:13:10.657982,1900-01-01 00:13:12.657982,خدمت شما ارز کنم که خیلی توی سال,Let me tell you that a lot during the year,hesitation,neutral,neutral
1900-01-01 00:13:12.657982,1900-01-01 00:13:14.657982,لیگ ملت,Nations League,neutrality,neutral,neutral
1900-01-01 00:13:14.657982,1900-01-01 00:13:16.657982,خیلی ممنون,Thank you very much,gratitude,happiness,mild
1900-01-01 00:13:16.657982,1900-01-01 00:13:18.657982,میخوای پاتونو تو کفش ما نکنی,You want to not interfere in our business,defensiveness,anger,moderate
1900-01-01 00:13:18.657982,1900-01-01 00:13:20.657982,یارو خودش پاشو تو هر کفشی,The guy puts his foot in every shoe himself.,annoyance,disgust,mild
1900-01-01 00:13:20.657982,1900-01-01 00:13:22.657982,کردن,Doing,neutrality,neutral,neutral
1900-01-01 00:13:22.657982,1900-01-01 00:13:24.657982,خدمت شما ارز کنم که,Let me tell you that,neutrality,neutral,neutral
1900-01-01 00:13:30.657982,1900-01-01 00:13:32.657982,خیلی ممنون,Thank you very much,gratitude,happiness,mild
1900-01-01 00:13:32.657982,1900-01-01 00:13:34.657982,چیزی که من تجربه کردم,What I experienced,reflection,neutral,neutral
1900-01-01 00:13:34.657982,1900-01-01 00:13:36.657982,خود شما هم به عنوانی کسی که,"You yourself, as someone who",curiosity,neutral,neutral
1900-01-01 00:13:37.616982,1900-01-01 00:13:39.616982,تیمهای نتیجه میگیرند,Teams get results,assertion,neutral,neutral
1900-01-01 00:13:39.616982,1900-01-01 00:13:41.616982,که وقتی گول میزندن نیمکتشون خوشحال تر,"That when they score a goal, their bench is happier",contentment,happiness,mild
1900-01-01 00:13:41.616982,1900-01-01 00:13:43.616982,از بازیکان آی انکه تو زمینم,"From the players, oh, the one who is on my field",curiosity,neutral,mild
1900-01-01 00:13:43.616982,1900-01-01 00:13:45.697982,خیلی چیز مهم میاد,Something very important is coming,anticipation,surprise,moderate
1900-01-01 00:13:45.697982,1900-01-01 00:13:47.097982,من فکر می کنم که مرعبیهای دنیا با هم,I think that the coaches of the world together,contemplation,neutral,neutral
1900-01-01 00:13:47.097982,1900-01-01 00:13:48.396982,هیچ فرقی نمی کنن,They make no difference,indifference,neutral,neutral
1900-01-01 00:13:48.396982,1900-01-01 00:13:50.396982,یعنی الم فوتبال علم شناخته شدههیه,"That is, football science is a recognized science.",assertion,neutral,neutral
1900-01-01 00:13:50.396982,1900-01-01 00:13:52.396982,یعنی تو نمیتونی بگیگی,So you can't say it,frustration,anger,mild
1900-01-01 00:13:52.396982,1900-01-01 00:13:54.396982,گواردیولا این و میدین یه تاکتیکو,"Guardiola, they know this is a tactic.",certainty,neutral,neutral
1900-01-01 00:13:54.396982,1900-01-01 00:13:56.396982,بلده مسطلن کلوب بلد نیست,"He knows how to act drunk, but he doesn't know how to act like he's in a club.",judgment,disgust,mild
1900-01-01 00:13:56.396982,1900-01-01 00:13:58.396982,همشون بلده این,They all know this,resentment,anger,mild
1900-01-01 00:13:58.396982,1900-01-01 00:14:00.396982,به نظرم تو دنیا محفق میشن,I think they will succeed in the world,hope,happiness,mild
1900-01-01 00:14:00.396982,1900-01-01 00:14:02.396982,که بتونن اون حس دوستی و رفاقت,If they can have that sense of friendship and companionship,hope,happiness,mild
1900-01-01 00:14:02.396982,1900-01-01 00:14:04.396982,رو تو تیمشون جاری کنن,Let it flow in their team,expectation,neutral,neutral
1900-01-01 00:14:04.396982,1900-01-01 00:14:06.396982,و وقتی تیم به اون درجه میرسه,And when the team reaches that level,anticipation,happiness,mild
1900-01-01 00:14:06.396982,1900-01-01 00:14:08.396982,صد درصد محفق میشه,He will definitely succeed one hundred percent,confidence,happiness,intense
1900-01-01 00:14:08.396982,1900-01-01 00:14:10.396982,مثل یه فیلمی,Like a movie,nostalgia,neutral,mild
1900-01-01 00:14:10.396982,1900-01-01 00:14:12.396982,شخصا یه فیلمی بازی کردم,"Personally, I acted in a movie",pride,happiness,mild
1900-01-01 00:14:12.396982,1900-01-01 00:14:14.396982,جهان با من برخص,"World, dance with me",invitation,happiness,mild
1900-01-01 00:14:14.396982,1900-01-01 00:14:16.396982,انقدر فضای پشت سحنه این فیلم,So much the behind-the-scenes atmosphere of this film,curiosity,neutral,mild
1900-01-01 00:14:16.396982,1900-01-01 00:14:18.396982,خوب بود به خاطر حضور خود,It was good because of your presence,appreciation,happiness,mild
1900-01-01 00:14:18.396982,1900-01-01 00:14:20.396982,سروش سعد به عنوان کارگردان,Soroush Saad as the director,neutrality,neutral,neutral
1900-01-01 00:14:20.396982,1900-01-01 00:14:22.396982,که فیلم وقتی روی پرد ما,When the film is on our screen,anticipation,happiness,mild
1900-01-01 00:14:22.396982,1900-01-01 00:14:24.396982,دیدیم واقعا اون حس رو تجربه کردیم,"We saw it, we really experienced that feeling",reminiscence,happiness,moderate
1900-01-01 00:14:24.396982,1900-01-01 00:14:26.396982,یعنی من که خودم بارها,"That is, I myself, many times",reflection,neutral,neutral
1900-01-01 00:14:26.396982,1900-01-01 00:14:28.396982,به صورت ناشناس رو تاریکی رفتم,I went into the darkness anonymously.,mystery,fear,mild
1900-01-01 00:14:28.396982,1900-01-01 00:14:30.396982,نشستم یه گوشه دقیق سینمایی,"I sat in a corner, cinematic and precise.",contemplation,neutral,mild
1900-01-01 00:14:30.396982,1900-01-01 00:14:32.396982,و اون فیلم رو تنها دیدم,And I watched that movie alone,loneliness,sadness,mild
1900-01-01 00:14:32.396982,1900-01-01 00:14:34.396982,شاید پونزه بار من اون فیلم رو دیده باشم,Maybe I've seen that movie fifteen times,fondness,happiness,mild
1900-01-01 00:14:34.396982,1900-01-01 00:14:36.396982,من فکر میکنم که هر حسی,I think that every feeling,contemplation,neutral,neutral
1900-01-01 00:14:36.396982,1900-01-01 00:14:38.396982,از پشت سحنش میاد اگه تیمی قرار رو نتیجه بگیره,It comes from behind the scenes if a team is going to get results.,expectation,neutral,mild
1900-01-01 00:14:38.396982,1900-01-01 00:14:40.396982,اون رفاقتی که پشت سحنه,That friendship behind the scenes,nostalgia,happiness,mild
1900-01-01 00:14:40.396982,1900-01-01 00:14:42.396982,توی اردو و توی تمنینا جاریه,It is ongoing in the camp and in the exercises.,continuity,neutral,neutral
1900-01-01 00:14:42.396982,1900-01-01 00:14:44.396982,تو اون تیم سرایت میکنه,It spreads to that team,concern,fear,mild
1900-01-01 00:14:44.396982,1900-01-01 00:14:46.396982,به بازی و اون تیم نتیجه میگیره,He plays and that team gets results,confidence,happiness,mild
1900-01-01 00:14:46.396982,1900-01-01 00:14:48.396982,نظر شخصی میره,Personal opinion goes,indifference,neutral,neutral
1900-01-01 00:14:48.396982,1900-01-01 00:14:50.396982,کاملا درسته به خاطر این که ما ها که روبوت نیستیم,That's absolutely right because we are not robots.,validation,happiness,mild
1900-01-01 00:14:50.396982,1900-01-01 00:14:52.396982,که در نهایت,that in the end,anticipation,neutral,neutral
1900-01-01 00:14:52.396982,1900-01-01 00:14:54.396982,بیان یه جوری برنامه رزیمون بکنن,Let them arrange our schedule somehow,frustration,anger,mild
1900-01-01 00:14:54.396982,1900-01-01 00:14:56.396982,بگم آره این فرمولو دقیقا,"Should I say yes, exactly this formula",uncertainty,neutral,mild
1900-01-01 00:14:56.396982,1900-01-01 00:14:58.396982,این این تکنیک رو باید پیاده بکنیم,We have to implement this technique,determination,neutral,mild
1900-01-01 00:14:58.396982,1900-01-01 00:15:00.396982,در نهایت,In the end,resignation,sadness,mild
1900-01-01 00:15:00.396982,1900-01-01 00:15:02.396982,همه که آزموده یه تکنیک خودشون شدن,Everyone has become experienced in their own technique.,resignation,neutral,mild
1900-01-01 00:15:02.396982,1900-01-01 00:15:04.396982,در حد,To some extent,uncertainty,neutral,neutral
1900-01-01 00:15:04.396982,1900-01-01 00:15:06.396982,قابل قبول,Acceptable,acceptance,neutral,neutral
1900-01-01 00:15:06.396982,1900-01-01 00:15:08.396982,حالا اینا باید به هماهنگی,Now these need to be coordinated,expectation,neutral,mild
1900-01-01 00:15:08.396982,1900-01-01 00:15:10.396982,با همدیگه برسن,They arrive together,togetherness,happiness,mild
1900-01-01 00:15:10.396982,1900-01-01 00:15:12.396982,اونصوری که این وسط بیاد کمک کننده هست,The element that comes in here is helpful,hope,happiness,mild
1900-01-01 00:15:12.396982,1900-01-01 00:15:14.396982,همون,The same,indifference,neutral,neutral
1900-01-01 00:15:14.396982,1900-01-01 00:15:16.396982,محرو رفاقت هست,He is deprived of friendship,loneliness,sadness,moderate
